campaign_rank,company_name,slug,url,status,sample_data_note
5,Charlestowne Hotels,charlestowne,http://hotelreportautomation.com/a/charlestowne/,live_static_page_generated,Illustrative metrics only; do not represent as real account analysis.
27,"Emerald Hospitality Associates, Inc.",emerald-associates,http://hotelreportautomation.com/a/emerald-associates/,live_static_page_generated,Illustrative metrics only; do not represent as real account analysis.
32,Auburn Hospitality,auburn,http://hotelreportautomation.com/a/auburn/,live_static_page_generated,Illustrative metrics only; do not represent as real account analysis.
